Rank;Vehicle;Driver;Time;PS / KG
126;Porsche 911 GT3;Walter Rohrl;7:40.00;435 / 1442
127;Renault Megane RS Trophy R;Laurent Hurgon;7:40.10;300 / 1314
128;Chevrolet Camaro ZL1;Mark Reuss;7:41.27;588 / 1838
129;Porsche Cayman GT4 (981);Christian Gebhardt;7:42.00;385 / 1360
130;Porsche 911 GT3 (997);Walter Rohrl;7:42.00;415 / 1435
131;Porsche 911 GT3 RS (997);unknown;7:42.00;415 / 1416
132;Murcielago LP 670-4 SV;Horst von Saurma;7:42.00;670 / 1664
133;Alpine A110 S (Mk II 300 PS);unknown;7:42.66;300 / 1133
134;Chevrolet Corvette Z06 (C6);Jan Magnussen;7:42.90;512 / 1446
135;BMW M2 CS (F87);Christian Gebhardt;7:42.99;450 / 1584
136;Porsche 911 GT3 RS (996);Walter Rohrl;7:43.00;381 / 1360
137;Aston Martin Vantage (Mk II);unknown;7:43.92;510 / 1713
138;Mercedes-Benz C 63 AMG S Coupe;Christian Gebhardt;7:44.00;510 / 1811
139;Pagani Zonda C12 S;unknown;7:44.00;555 / 1250
140;Porsche 911 Turbo S;Horst Von Saurma;7:44.00;530 / 1591
141;Audi R8 V10 5.2 FSI (Mk I);unknown;7:44.00;525 / 1671
142;Gardner Douglas GD T70 Spyder;Dario Margutti;7:45.00;710 / 900
143;Audi R8 V10 5.2 FSI Plus;Horst von Saurma;7:45.00;550 / 1646
144;E 63 AMG S 4Matic+ T;unknown;7:45.00;612 / 2098
145;CLK 63 Black Series;Berndt Schneider;7:45.00;507 / 1741
146;Mercedes - AMG CLA 45 S;Christian Gebhardt;7:45.34;421 / 1658
147;Gallardo Superleggera;unknown;7:46.00;530 / 1520
148;Porsche 911 GT2 (996);unknown;7:46.00;462 / 1455
149;C 63 AMG Coupe Black Series;unknown;7:46.00;517 / 1748
150;Jaguar XJ220;John Nielsen;7:46.37;549 / 1512
151;Porsche 718 Cayman S;Christian Gebhardt;7:47.00;350 / 1426
152;Ferrari 599 GTB Fiorano;unknown;7:47.00;620 / 1787
153;Wiesmann GT MF5;unknown;7:47.00;507 / 1401
154;Porsche 911 GT3 RS (996);unknown;7:47.00;381 / 1360
155;VW Golf R 20 Years;Benjamin Leuchter;7:47.31;333 / 1526
156;BMW M3 GTS;unknown;7:48.00;450 / 1541
157;Porsche 911 GT3 (997);unknown;7:48.00;415 / 1435
158;Audi TT RS Coupe (Mk III);Christian Gebhardt;7:48.00;400 / 1483
159;Lotus Exige Cup 380 (Mk III);unknown;7:48.13;381 / 1109
160;Mercedes - AMG A45 S (W177);Christian Gebhardt;7:48.80;421 / 1630
161;Alpina B3 GT3;unknown;7:49.00;408 / 1535
162;Porsche Boxster Spyder (981);unknown;7:49.00;375 / 1326
163;VW Golf GTI Clubsport S;unknown;7:49.21;310 / 1314
164;Mercedes-Benz GLC 63 AMG S;Markus Hofbauer;7:49.30;510 / 2015
165;RUF CTR2;Dave Beddor;7:49.56;520 / 1422
166;Aston Martin Vantage GT8;Christian Gebhardt;7:50.00;446 / 1541
167;Lamborghini Murcielago;unknown;7:50.00;580 / 1810
168;Porsche 911 Carrera S;unknown;7:50.00;385 / 1464
169;BMW M3 CSL (E46);Horst von Saurma;7:50.00;360 / 1409
170;SLS AMG Coupe Electric Drive;Markus Hofbauer;7:50.23;751 / 2095
171;Jaguar XKR-S (550 PS);unknown;7:51.00;551 / 1843
172;VW Golf R (Mk VIII);unknown;7:51.00;320 / 1529
173;SL65 AMG Black Series;unknown;7:51.00;670 / 1892
174;Alfa Romeo Stelvio QV;Fabio Francia;7:51.70;510 / 1931
175;Lamborghini Gallardo;unknown;7:52.00;500 / 1597
176;BMW M4;Horst von Saurma;7:52.00;431 / 1602
177;Lamborghini Gallardo LP560-4;unknown;7:52.00;560 / 1570
178;Ford GT (Mk I);unknown;7:52.00;550 / 1574
179;Porsche 911 Turbo Cabriolet;Walter Rohrl;7:52.00;480 / 1668
180;BMW M5 (E60);Hans Joachim Stuck;7:52.00;507 / 1878
181;Aston Martin V12 Vantage S;unknown;7:52.00;573 / 1685
182;Alpina B4 Gran Coupe;Christian Gebhardt;7:52.11;495 / 1924
183;Toyota Supra (Mk V 340 PS);Christian Gebhardt;7:52.17;340 / 1524
184;Porsche Panamera Turbo S;Horst von Saurma;7:52.20;550 / 1993
185;BMW M2 Competition (F87);unknown;7:52.36;410 / 1614
186;Lotus Exige S (V6);Christian Gebhardt;7:53.00;350 / 1140
187;Alpina B3 (G20);Christian Gebhardt;7:53.26;468 / 1812
